Date,Time,Category,Item,Qty,Product Sales,Discounts,Net Sales,Itemization Type
30/09/2024,20:10:57,Beverages,Drink - Banana Milk,2,$6.82,$0.00,$6.82,Physical Good
30/09/2024,19:09:15,Beverages,Drink - Banana Milk,1,$3.41,$0.00,$3.41,Physical Good
30/09/2024,19:09:15,Beverages,Drink - COKE ZERO,1,$2.73,$0.00,$2.73,Physical Good
30/09/2024,18:51:08,None,Gloss Varnish,2,$9.08,$0.00,$9.08,Service
30/09/2024,18:34:46,Beverages,Drink - WATER,1,$2.86,-$1.50,$1.36,Physical Good
30/09/2024,18:28:37,SP GIRL - SKULLPANDA,SP - Umbrella,1,$55.37,-$9.00,$46.37,Physical Good
30/09/2024,18:28:37,None,Cat - Piggy,1,$36.91,-$6.00,$30.91,Physical Good
30/09/2024,18:28:37,None,Strawberry Bear - Balloon,1,$41.52,-$6.75,$34.77,Physical Good
30/09/2024,18:24:43,None,Gloss Varnish,1,$4.55,$0.00,$4.55,Service
30/09/2024,17:46:24,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
30/09/2024,17:34:54,None,Connan,1,$36.86,-$6.00,$30.86,Physical Good
30/09/2024,17:34:54,None,Rabbit - Goggles,1,$41.47,-$6.75,$34.72,Physical Good
30/09/2024,16:37:55,Couple,Couple – Avo Duck,1,$49.92,$0.00,$49.92,Physical Good
30/09/2024,16:12:52,None,Ninja Pizza - B,1,$40.84,$0.00,$40.84,Physical Good
30/09/2024,16:12:52,Couple,Couple – Cat,1,$49.92,$0.00,$49.92,Physical Good
30/09/2024,16:09:54,Sanrio,Kuro -  King,1,$40.84,$0.00,$40.84,Physical Good
30/09/2024,16:07:20,None,Custom Amount,1,$40.84,$0.00,$40.84,
30/09/2024,16:02:02,Beverages,Drink - Lipton PEACH,1,$4.54,$0.00,$4.54,Physical Good
30/09/2024,15:35:18,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
30/09/2024,15:33:40,None,Piggy - Lucky,1,$27.23,$0.00,$27.23,Physical Good
30/09/2024,15:33:14,Bear Stick / Bear Brick,Bear Stick - Rainbow,1,$45.00,-$45.00,$0.00,Physical Good
30/09/2024,15:11:31,None,Custom Amount,1,$49.92,$0.00,$49.92,
30/09/2024,14:39:03,None,Mama Chicken - 2,1,$27.23,$0.00,$27.23,Physical Good
30/09/2024,14:39:03,Sanrio,Cina - Queen,1,$40.84,$0.00,$40.84,Physical Good
30/09/2024,14:06:14,None,Custom Amount,1,$54.46,$0.00,$54.46,
30/09/2024,13:50:12,None,Capybara - Bathtub,1,$45.38,$0.00,$45.38,Physical Good
30/09/2024,13:50:12,None,Rabbit – Broccoli,1,$36.31,$0.00,$36.31,Physical Good
30/09/2024,13:44:58,Couple,Couple - Loving Bear,2,$99.84,$0.00,$99.84,Physical Good
30/09/2024,13:40:56,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
30/09/2024,13:40:56,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
30/09/2024,13:40:56,None,Gloss Varnish,1,$4.53,$0.00,$4.53,Service
30/09/2024,13:39:08,Couple,Couple - Loving Bear,1,$50.00,$0.00,$50.00,Physical Good
30/09/2024,13:39:08,Sanrio,Cina - Queen,1,$40.91,$0.00,$40.91,Physical Good
30/09/2024,13:39:08,SP GIRL - SKULLPANDA,SP - Cat,1,$40.91,$0.00,$40.91,Physical Good
30/09/2024,13:36:10,Beverages,Drink - Banana Milk,1,$3.40,$0.00,$3.40,Physical Good
30/09/2024,13:22:32,None,Dino - Baby,1,$38.42,-$22.86,$15.56,Physical Good
30/09/2024,13:22:32,Beverages,Drink - Banana Milk,1,$3.60,-$2.14,$1.46,Physical Good
30/09/2024,13:19:50,None,Capybara - Piggy Hat,1,$47.69,-$25.00,$22.69,Physical Good
30/09/2024,13:18:49,Beverages,Drink - Lipton PEACH,1,$4.54,$0.00,$4.54,Physical Good
30/09/2024,13:18:49,None,Piggy - Watermelon,1,$40.84,$0.00,$40.84,Physical Good
30/09/2024,13:16:41,SP GIRL - SKULLPANDA,SP - Hair Clips,1,$45.46,$0.00,$45.46,Physical Good
30/09/2024,13:16:41,None,Piggy – Happy,1,$36.36,$0.00,$36.36,Physical Good
30/09/2024,13:16:41,None,Ninja Pizza - B,1,$40.91,$0.00,$40.91,Physical Good
30/09/2024,13:09:21,None,Repeat painting,1,$9.09,$0.00,$9.09,Service
