Date,Time,Category,Item,Qty,Product Sales,Discounts,Net Sales,Itemization Type
14/08/2025,18:30:08,None,Gloss Varnish,1,$5.00,-$5.00,$0.00,Service
14/08/2025,18:30:08,None,Gloss Varnish,1,$5.00,-$5.00,$0.00,Service
14/08/2025,18:29:19,Sanrio,Kuro the King - DIY Figurine Painting Kit,1,$45.00,-$45.00,$0.00,Physical Good
14/08/2025,18:29:19,None,Kir On Star - DIY Figurine Painting Kit,1,$45.00,-$45.00,$0.00,Physical Good
14/08/2025,18:29:19,Couple,Couple Cat - DIY Figurine Painting Kit,1,$55.00,-$55.00,$0.00,Physical Good
14/08/2025,16:51:17,None,Piggy goes to School - DIY Figurine Painting Kit,1,$36.31,$0.00,$36.31,Physical Good
14/08/2025,15:01:30,None,Shin the Racer Boy - DIY  Figurine Painting Kit,1,$45.00,-$45.00,$0.00,Physical Good
14/08/2025,15:01:30,None,Capybara Bathtub - DIY Figurine Painting Kit,1,$50.00,-$50.00,$0.00,Physical Good
13/08/2025,19:34:04,None,Dor the Captain US - DIY Plaster Figurine Painting Kit,1,$34.08,-$25.00,$9.08,Physical Good
13/08/2025,19:34:04,None,Larva Red - DIY Figurine Painting Kit,1,$34.07,-$25.00,$9.07,Physical Good
13/08/2025,15:58:47,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
13/08/2025,15:58:47,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
13/08/2025,15:51:22,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
13/08/2025,14:37:57,Couple,Couple Banana - DIY Figurine Painting Kit,1,$49.92,$0.00,$49.92,Physical Good
13/08/2025,14:27:38,Sanrio,Cinna the Princess - DIY Figurine Painting Kit,1,$40.84,$0.00,$40.84,Physical Good
13/08/2025,12:59:01,Pokemon Characters,Pok the Blas Turtle - DIY  Figurine Painting Kit,1,$47.52,-$23.15,$24.37,Physical Good
13/08/2025,12:59:01,None,Bear Prism - DIY Figurine Painting Kit,1,$47.52,-$23.15,$24.37,Physical Good
13/08/2025,12:59:01,Beverages,Drink - COKE,1,$3.80,-$1.85,$1.95,Physical Good
13/08/2025,12:59:01,Beverages,Drink - WATER,1,$3.80,-$1.85,$1.95,Physical Good
12/08/2025,21:23:38,None,Gloss Varnish,1,$5.00,-$5.00,$0.00,Service
12/08/2025,21:23:38,None,Gloss Varnish,1,$5.00,-$5.00,$0.00,Service
12/08/2025,21:23:38,None,Gloss Varnish,1,$5.00,-$5.00,$0.00,Service
12/08/2025,20:53:09,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
12/08/2025,20:32:53,None,Piggy goes to School - DIY Figurine Painting Kit,1,$36.31,$0.00,$36.31,Physical Good
12/08/2025,20:32:53,None,Capybara TV - DIY Figurine Painting Kit,1,$45.38,$0.00,$45.38,Physical Good
12/08/2025,20:32:53,SP GIRL - SKULLPANDA,SP the Emperor - DIY  Figurine Painting Kit,1,$40.84,$0.00,$40.84,Physical Good
12/08/2025,20:06:51,None,Capybara Bathtub - DIY Figurine Painting Kit,1,$45.38,$0.00,$45.38,Physical Good
12/08/2025,17:59:22,Pokemon Characters,Pok the Blas Turtle - DIY  Figurine Painting Kit,1,$45.38,$0.00,$45.38,Physical Good
12/08/2025,17:58:56,POP MART Character,Doll the Naughty Girl - DIY Figurine Painting Kit,1,$36.31,$0.00,$36.31,Physical Good
12/08/2025,17:21:31,None,Tracey Balkwell 11am Sat 20 SEP,1,$200.00,$0.00,$200.00,
11/08/2025,18:24:13,Beverages,Drink - COKE ZERO,1,$3.82,-$2.00,$1.82,Physical Good
11/08/2025,17:04:00,Beverages,Drink - WATER,1,$3.82,-$2.00,$1.82,Physical Good
11/08/2025,16:29:15,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
11/08/2025,16:29:15,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
11/08/2025,15:50:07,Bear Stick / Bear Brick,Bear Stick Rainbow - DIY Figurine Painting Kit,1,$43.03,-$23.68,$19.35,Physical Good
11/08/2025,15:50:07,Raws/Kaws,Raws the OG - DIY  Figurine Painting Kit,1,$47.81,-$26.32,$21.49,Physical Good
11/08/2025,15:07:05,Pokemon Characters,Pok the Bulb Ice Cream - DIY  Figurine Painting Kit,1,$36.31,$0.00,$36.31,Physical Good
11/08/2025,15:06:16,None,Resting Panda - DIY  Figurine Painting Kit,1,$31.77,$0.00,$31.77,Physical Good
11/08/2025,15:05:27,Couple,Couple Cat - DIY Figurine Painting Kit,1,$49.92,$0.00,$49.92,Physical Good
11/08/2025,15:04:20,None,Dragon Cutie - DIY Figurine Painting Kit,1,$36.31,$0.00,$36.31,Physical Good
11/08/2025,14:48:37,Couple,Couple Lucky Cat - DIY Figurine Painting Kit,1,$49.92,$0.00,$49.92,Physical Good
11/08/2025,12:59:22,None,Superhero the Cat Dude - DIY Figurine Painting Kit,1,$47.95,-$27.78,$20.17,Physical Good
11/08/2025,12:59:22,None,Apple Baby - DIY Figurine Painting Kit,1,$38.36,-$22.22,$16.14,Physical Good
10/08/2025,19:34:30,Sanrio,Cinna the Princess - DIY Figurine Painting Kit,1,$40.85,$0.00,$40.85,Physical Good
10/08/2025,19:34:30,Pokemon Characters,Pok the Blas Turtle - DIY  Figurine Painting Kit,1,$45.38,$0.00,$45.38,Physical Good
10/08/2025,19:16:57,Pokemon Characters,Pok the Snor Ice Cream - DIY  Figurine Painting Kit,1,$36.31,$0.00,$36.31,Physical Good
10/08/2025,19:16:57,SP GIRL - SKULLPANDA,SP the Emperor - DIY  Figurine Painting Kit,1,$40.84,$0.00,$40.84,Physical Good
10/08/2025,19:03:27,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
10/08/2025,18:38:30,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
10/08/2025,18:38:30,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
10/08/2025,18:14:51,None,Dor the Bat - DIY Plaster Figurine Painting Kit,1,$40.84,$0.00,$40.84,Physical Good
10/08/2025,18:14:51,Sanrio,Cinna with Bowtied - DIY Figurine Painting Kit,1,$40.85,$0.00,$40.85,Physical Good
10/08/2025,17:51:21,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
10/08/2025,17:51:21,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
10/08/2025,17:42:12,None,Gloss Varnish,1,$5.00,-$5.00,$0.00,Service
10/08/2025,17:42:12,None,Gloss Varnish,1,$5.00,-$5.00,$0.00,Service
10/08/2025,17:29:43,None,Dragon Baby - DIY Figurine Painting Kit,1,$40.84,$0.00,$40.84,Physical Good
10/08/2025,16:40:10,None,Larva Red - DIY Figurine Painting Kit,1,$33.79,-$21.88,$11.91,Physical Good
10/08/2025,16:40:10,None,Shin the Racer Boy - DIY  Figurine Painting Kit,1,$43.44,-$28.12,$15.32,Physical Good
10/08/2025,16:03:05,None,Bear Prism - DIY Figurine Painting Kit,1,$50.00,-$50.00,$0.00,Physical Good
10/08/2025,16:03:05,None,Superhero the Cat Dude - DIY Figurine Painting Kit,1,$50.00,-$50.00,$0.00,Physical Good
10/08/2025,14:12:39,None,Sleeping Angel - DIY  Figurine Painting Kit,1,$49.92,$0.00,$49.92,Physical Good
10/08/2025,14:12:39,None,Mermaid - DIY Figurine Painting Kit,1,$31.77,$0.00,$31.77,Physical Good
10/08/2025,14:05:21,None,Shin the Racer Boy - DIY  Figurine Painting Kit,1,$45.00,-$45.00,$0.00,Physical Good
10/08/2025,14:05:21,None,Rabbit with Ice Cream - DIY  Figurine Painting Kit,1,$45.00,-$45.00,$0.00,Physical Good
10/08/2025,13:34:47,None,Dragon Cutie - DIY Figurine Painting Kit,1,$36.31,$0.00,$36.31,Physical Good
10/08/2025,13:34:47,None,Kir On Star - DIY Figurine Painting Kit,1,$40.84,$0.00,$40.84,Physical Good
10/08/2025,13:17:55,Couple,Couple Cat - DIY Figurine Painting Kit,1,$49.92,$0.00,$49.92,Physical Good
10/08/2025,12:22:55,Sanrio,Cinna with Bowtied - DIY Figurine Painting Kit,1,$40.84,$0.00,$40.84,Physical Good
10/08/2025,12:22:55,None,Superhero the Captain US Hoodie - DIY Figurine Painting Kit,1,$36.31,$0.00,$36.31,Physical Good
10/08/2025,11:27:33,None,Rabbit Asian Costume - DIY  Figurine Painting Kit,1,$36.31,$0.00,$36.31,Physical Good
10/08/2025,11:27:33,Sanrio,Cinna with Bowtied - DIY Figurine Painting Kit,1,$40.84,$0.00,$40.84,Physical Good
10/08/2025,11:19:05,SP GIRL - SKULLPANDA,SP the Mummy - DIY  Figurine Painting Kit,1,$40.84,$0.00,$40.84,Physical Good
10/08/2025,11:19:05,Sanrio,Kuro Dragon Hat - DIY Figurine Painting Kit,1,$40.85,$0.00,$40.85,Physical Good
9/08/2025,20:32:51,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
9/08/2025,20:32:51,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
9/08/2025,20:17:05,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
9/08/2025,17:58:41,None,Dor with Headphones - DIY Figurine Painting Kit,1,$45.38,$0.00,$45.38,Physical Good
9/08/2025,17:58:17,None,Larva Red - DIY Figurine Painting Kit,1,$31.77,$0.00,$31.77,Physical Good
9/08/2025,17:57:54,None,Kir On Star - DIY Figurine Painting Kit,1,$40.84,$0.00,$40.84,Physical Good
9/08/2025,17:48:32,Raws/Kaws,Raws the OG - DIY  Figurine Painting Kit,1,$47.95,-$27.78,$20.17,Physical Good
9/08/2025,17:48:32,None,Piggy in Bathtub - DIY  Figurine Painting Kit,1,$38.36,-$22.22,$16.14,Physical Good
9/08/2025,17:45:39,None,Capybara Turtle Hat - DIY Figurine Painting Kit,1,$49.92,$0.00,$49.92,Physical Good
9/08/2025,17:45:39,SP GIRL - SKULLPANDA,SP the Emperor - DIY  Figurine Painting Kit,1,$40.84,$0.00,$40.84,Physical Good
9/08/2025,17:39:54,Couple,Couple Cat - DIY Figurine Painting Kit,1,$49.92,$0.00,$49.92,Physical Good
9/08/2025,17:39:54,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
9/08/2025,17:39:21,None,Mermaid - DIY Figurine Painting Kit,1,$31.77,$0.00,$31.77,Physical Good
9/08/2025,17:39:21,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
9/08/2025,17:29:31,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
9/08/2025,17:29:31,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
9/08/2025,17:18:48,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
9/08/2025,17:18:48,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
9/08/2025,16:53:18,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
9/08/2025,16:44:04,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
9/08/2025,16:36:29,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
9/08/2025,16:06:21,Couple,Couple Cat - DIY Figurine Painting Kit,1,$49.92,$0.00,$49.92,Physical Good
9/08/2025,15:35:53,None,Gloss Varnish,1,$4.55,$0.00,$4.55,Service
9/08/2025,15:26:09,None,Capybara Turtle Hat - DIY Figurine Painting Kit,1,$52.46,-$27.50,$24.96,Physical Good
