Date,Time,Category,Item,Qty,Product Sales,Discounts,Net Sales,Itemization Type
31/10/2024,21:04:17,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
31/10/2024,19:33:34,Couple,Couple – Resting Bear,1,$50.00,-$50.00,$0.00,Physical Good
31/10/2024,16:02:02,Halloween,Halloween - Mel,1,$40.84,$0.00,$40.84,Physical Good
31/10/2024,14:40:41,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
31/10/2024,14:16:28,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
31/10/2024,14:16:28,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
31/10/2024,13:31:06,None,Take-home kit,1,$2.72,$0.00,$2.72,Physical Good
31/10/2024,13:11:30,Sanrio,Cina - Queen,1,$40.84,$0.00,$40.84,Physical Good
31/10/2024,13:11:30,Sanrio,Cina,1,$36.31,$0.00,$36.31,Physical Good
31/10/2024,12:57:48,Sanrio,Pompom,1,$40.84,$0.00,$40.84,Physical Good
31/10/2024,12:57:04,Couple,Couple – Resting Bear,1,$45.38,$0.00,$45.38,Physical Good
31/10/2024,12:04:52,Beverages,Drink - Yellow Red Bull,1,$4.74,-$2.20,$2.54,Physical Good
30/10/2024,20:58:49,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
30/10/2024,20:39:26,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
30/10/2024,19:48:56,None,Sleepy Sparkle,1,$36.36,$0.00,$36.36,Physical Good
30/10/2024,18:53:17,None,Sleepy Sparkle,1,$36.86,-$6.00,$30.86,Physical Good
30/10/2024,18:52:38,None,Sleepy Sparkle,1,$36.86,-$6.00,$30.86,Physical Good
30/10/2024,16:56:44,None,Amelia’s birthday,1,$350.00,$0.00,$350.00,
30/10/2024,16:29:44,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
30/10/2024,16:29:44,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
30/10/2024,16:17:28,None,Custom Amount,1,$45.38,$0.00,$45.38,
30/10/2024,16:17:28,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
30/10/2024,16:17:28,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
30/10/2024,16:16:52,None,Rabbit – Fish,1,$36.31,$0.00,$36.31,Physical Good
30/10/2024,15:35:24,None,Bowtie Cat - School Girl,1,$40.85,$0.00,$40.85,Physical Good
30/10/2024,15:35:24,Raws/Kaws,Raws - Furry,1,$45.38,$0.00,$45.38,Physical Good
