transaction_date,transaction_time,product_category,product_name,quantity,sales_amount
2024-12-29,15:45:40.0000000,Service,Gloss,1,4.5499999999999998
2024-12-10,14:14:18.0000000,Figurines,Raws - Furry,1,45.380000000000003
2024-12-05,17:47:40.0000000,Figurines,Raws - Furry,1,45.380000000000003
2024-11-16,15:42:40.0000000,Service,Gloss Varnish,1,4.5499999999999998
2024-11-14,20:13:57.0000000,Service,Gloss Varnish,1,4.5499999999999998
2024-11-14,20:13:57.0000000,Service,Gloss Varnish,1,4.5499999999999998
2024-11-14,20:13:57.0000000,Service,Gloss Varnish,1,4.54
2024-11-14,20:13:57.0000000,Service,Gloss Varnish,1,4.5499999999999998
2024-11-14,20:13:57.0000000,Service,Gloss Varnish,1,4.5499999999999998
2024-10-26,23:05:26.0000000,Service,Gloss Varnish,1,4.54
2024-10-24,14:23:25.0000000,Figurines,Larva - Small A,1,24.539999999999999
2024-10-24,14:23:25.0000000,Figurines,Larva - Small B,1,17.18
2024-10-24,14:23:25.0000000,Figurines,Hello kitkat,1,45.460000000000001
2024-10-13,17:20:48.0000000,Service,Gloss Varnish,1,4.5499999999999998
2024-10-02,18:06:39.0000000,Figurines,Kuro - Eclipse,1,34.719999999999999
2024-10-02,18:06:39.0000000,Figurines,Apple Baby,1,27
2024-09-25,14:53:05.0000000,Figurines,Monster - Suli & Mike,1,54.460000000000001
2024-09-20,19:49:42.0000000,Figurines,Apple Baby,1,31.82
2024-09-20,19:49:42.0000000,Figurines,Astro Bear,1,45.450000000000003
2024-09-09,17:09:12.0000000,Figurines,New Product,1,0.91000000000000003
2024-08-29,14:17:22.0000000,Figurines,Holder - Lucky Cat 2,1,13.91
2024-08-28,14:38:26.0000000,Figurines,New Product,1,30.859999999999999
2024-08-27,13:44:57.0000000,Figurines,Dino - Baby,1,25.449999999999999
2024-08-27,13:44:57.0000000,Figurines,Rabbit - Carrot,1,27.050000000000001
2024-08-22,20:22:24.0000000,Figurines,Kuro - Clown Hat,1,40.909999999999997
2024-08-22,20:22:24.0000000,Figurines,Kuro – Magician Hat,1,40.909999999999997
2024-08-13,13:21:40.0000000,Figurines,Capybara - Bathtub,1,38.57
2024-08-12,16:17:16.0000000,Service,Gloss Varnish,1,4.5499999999999998
2024-08-07,19:22:38.0000000,Figurines,Pat,1,36.310000000000002
2024-08-06,22:33:35.0000000,Figurines,Astro Bear,1,45.380000000000003
2024-08-06,19:46:10.0000000,Figurines,Couple – Resting Bear,1,49.920000000000002
2024-08-06,16:14:02.0000000,Figurines,baa baa sheep,1,30.91
2024-07-31,21:19:24.0000000,Figurines,New Product,1,454.55000000000001
2024-07-25,14:34:17.0000000,Service,Gloss Varnish,1,3.8599999999999999
2024-07-21,16:45:49.0000000,Service,Gloss Varnish,1,4.54
